year,count
2018,33
2017,406
2016,538
2015,576
2014,606
2013,575
2012,597
2011,543
2010,528
2009,519
2008,482
2007,458
2006,479
2005,499
2004,461
2003,407
2002,445
2001,380
2000,344
1999,324
1998,387
1997,344
1996,293
1995,316
1994,311
1993,293
1992,295
1991,296
1990,264
1989,292
1988,280
1987,317
1986,254
1985,255
1984,254
1983,231
1982,225
1981,222
1980,216
1979,209
1978,149
1977,187
1976,163
1975,155
1974,168
1973,175
1972,176
1971,126
1970,148
1969,155
1968,143
1967,101
1966,119
1965,103
1964,127
1963,105
1962,84
1961,81
1960,49
1959,46
1958,47
1957,57
1956,43
1955,44
1954,34
1953,46
1952,51
1951,27
1950,27
1949,25
1948,22
1947,26
1946,32
1945,15
